Year,Team,Dbacks,LineBackers,Dline,PassCatchers,Oline,QB,RB,Special,Dead,IR,Prac,Susp,Wins,Playoff Wins,SuperBowl Win
2010,titans,15.48,7.63,8.89,10.44,20.2,14.85,2.16,2.71,0.75,0.0,0.0,0.0,6,0,0
2011,titans,16.68,13.26,9.45,9.21,21.94,7.95,5.75,3.39,2.75,0.0,0.0,0.0,9,0,0
2012,titans,11.69,14.73,8.83,11.8,25.36,9.06,11.32,4.41,0.34,21.82,0.0,0.0,6,0,0
2013,titans,14.96,10.31,5.15,14.46,19.63,4.66,10.88,3.4,0.42,5.18,0.45,0.0,7,0,0
2014,titans,18.22,12.38,11.65,13.36,20.44,4.97,7.92,2.44,9.11,19.87,0.38,0.0,2,0,0
2015,titans,19.14,13.3,14.57,12.86,11.52,4.25,4.23,3.08,11.53,13.16,0.0,0.0,3,0,0
2016,titans,18.03,13.99,9.63,15.62,14.28,4.39,5.45,3.54,10.45,8.99,0.02,0.0,9,0,0
2017,titans,15.76,16.99,12.68,15.11,9.33,5.4,5.04,3.9,4.22,2.13,0.0,0.0,9,1,0
2018,titans,16.99,15.93,14.31,12.21,16.28,4.76,3.32,3.9,6.35,24.72,0.0,0.0,9,0,0
2019,titans,18.41,9.76,12.49,11.66,17.89,12.49,3.56,3.89,6.23,14.03,0.0,0.0,9,2,0
2005,redskins,6.73,7.58,0.36,13.33,10.09,3.19,4.13,0.0,10.99,0.28,0.0,0.0,10,1,0
2006,redskins,6.07,14.66,2.15,8.57,13.23,3.53,6.86,0.12,15.44,0.0,0.08,0.0,5,0,0
2007,redskins,14.16,4.12,2.79,9.54,9.56,2.84,4.99,0.4,5.15,7.65,0.0,0.0,9,0,0
2008,redskins,7.36,5.77,3.78,10.4,8.84,3.57,5.35,1.11,0.18,4.4,0.16,0.0,8,0,0
2009,redskins,15.05,7.11,11.56,14.96,14.93,4.97,5.12,0.27,3.03,16.54,0.07,0.0,4,0,0
2010,redskins,27.95,15.82,31.25,10.49,13.83,16.72,9.67,1.47,0.07,8.37,0.79,0.0,6,0,0
2011,redskins,21.85,12.83,14.93,15.17,20.76,2.01,3.58,1.74,12.13,5.99,0.0,0.0,5,0,0
2012,redskins,17.42,9.22,12.47,18.58,22.13,4.68,2.46,2.3,0.32,12.4,3.61,0.0,10,0,0
2013,redskins,11.83,17.4,13.37,22.6,20.87,5.45,2.13,2.46,4.76,11.93,0.19,0.0,3,0,0
2014,redskins,9.8,19.24,19.55,20.08,21.69,5.37,2.19,1.57,12.58,19.67,0.21,0.0,4,0,0
2015,redskins,13.57,11.89,18.47,21.11,19.26,6.06,2.44,1.53,8.93,19.73,0.0,0.0,9,0,0
2016,redskins,11.83,9.58,6.36,19.38,15.89,13.73,1.51,1.61,0.37,7.29,0.0,0.0,8,0,0
2017,redskins,18.22,14.07,6.94,12.88,19.7,15.6,2.59,1.84,0.06,26.81,0.2,0.0,7,0,0
2018,redskins,14.9,13.53,6.55,15.4,19.27,12.49,3.79,2.53,0.4,0.14,30.37,0.0,7,0,0
2019,redskins,15.54,11.25,5.91,14.07,16.46,15.5,4.24,3.26,2.15,32.94,10.54,0.2,3,0,0
